Lakhotia & Deprez,"This paper proposes a transformation tuck that restructures code and reorganizes unclear big fragments into small cohesive functions. Tuck deconstructs large functions into small functions by restructuring programs. Wedge, split, and fold are the three parts that make up tuck. Then, statements of meaningful functions in a wedge are split and folded into a new function. Overall, the paper revolves around the application of tuck transformations to imrpove the construction of a software system."
CloRT,CloRT is developed to take into account the shared elements of cloned methods while utilizing the strategy design pattern to differentiate them. A dynamic pattern matching algorithm is used to identify the semantic distinctions between clones and their translation in terms of programming language entities.
Nate,"Nate performed the Extract Method refactoring by extracting the slice into a new method, replacing it with a method call. For each extracted statement, the tool determines whether to remove it from the original method or to keep it there because it is still relevant"
Maruyama,"This paper solves the burden of manual refactoring by implementing automatic support when initiated by the programmer. It can be used by: selecting a fragment of code, choosing a method, and naming it. A new method is created from the parts of code from an existing method through block-based slicing. This mechanism is based on data-flow and control-flow analysis, so the user will not have to test the refactored fragment. "
Higo et al.,"CCShaper is a refactoring support tool based on code clone analysis. Software maintenance is made difficult by code clone, therefore by eliminating this issue performance is improved. This tool is reportedly more time efficient compared to software on a larger scale. The user is able to select which clones to remove by characterizing code clones."
Higo et al.,"ARIES is a refactoring support tool based on code clone analysis. Software maintenance is made difficult by code clone, therefore by eliminating this issue performance is improved. This tool is reportedly more time efficient compared to software on a larger scale. The user is able to select which clones to remove by characterizing code clones. "
O’Connor et al.,SDAR (Star Diagram Automated Refactoring) is a plug-in for Eclipse that is utilized to detect and apply local and global refactoring through star diagrams. The plug-in reveals that previously established JDT refactorings can apply new tools with star diagram refactorings. The tool offers refactoring options that imrpove code and aid development opportunities.
Unnamed,This paper constructs an algorithm to recognize the arguments and outcomes of an extraction method. The implementation is an Eclipse plugin and uses the Java Development Tools library provided by Eclipse
Vittek et al.,"XRefactory is a C++ refactoring tool utilizing a back-mapping preprocessor to perform at the level of compilers. The tool performs refactoring such as renaming, adding, moving method parameters, and method extraction. Although this tool only involves limited refactoring, the quality of the analysis is indicative of the tool."
Corbat et al.,"This plug-in was developed for Eclipse Ruby Development Tools IDE since automated refactorings are not included in Ruby. Dynamic typing of Ruby makes implementing refactorings very difficult since it can be impossible for an IDE to determine an object type; therefore, refactorings were applied loosly adapted from JDT. This plug-in was added to the official RDT repository and into Aptana's web development IDE."
Murphy-Hill & Black,"The tool Refactoring Annotations for Extract Method refactoring allows the user to find solutions for coding errors. The annotations depend on what code section the programmer suggests and applies relevant refactoring recommendations. This is done automattically by implementing an arow to be drawn on parameters and return values. The study this tool was developed conlcuded that speed, accuracy, and user satisfaction increase with the application of new tools. Usability recommendations are implemented and the goal is to cultivate a new generation of tools that are user-friendly for programmers."
Abadi et al.,"This paper introduces the foundation of fine slicing, a method that computes program slices. These slices can be transformed with the data removal and control dependencies as their surrounding code is extractable/executable."
Tsantalis & Chatzigeorgiou,"JDeodorant encompasses identifying specific Extract Method refactoring opportunities. This method is vital for refactorings as it resolves Duplicated Code, Feature Envy, Long Method, and Message Chains. This tool automatically identifies Extract Method opportunities to suggest improvement instead of requiring a set of statements by the programmer."
Wrangler,Wrangler is a hybrid approach based on tokens and AST to detect code clones in Erlang/OTP programs automatically. The proposed clone detection approach is capable of reporting code fragments that are syntactically identical and support clone removal using function extraction
HaRe,HaRe is designed for Haskell to detect and eliminate code duplication for function extraction.
Yang et al.,AutoMed is a refactoring tool that recommends parts of long methods to be extracted from code. This tool is analyzed on a non-trivial open source project that determined the refactoring cose of long methods may be reduced by forty percent throughout evaluation. The point of this tool is to evaluate code so that the ending result is comprised of easy to read well-named code.
Kanemitsu et al.,"ReAF (Refactoring Automated FInding) is a prototype tool that handles the all Java language grammer. Initially, the user inputs source files to form a software system that the tool will visualize and build procedural PDG for every method in the input. The tool can only handle Java source code but can be developed to handle other languages."
Meananeatra et al.,"This paper proposed an approach to select refactorings dependent on data flow and control flow graphs of software metrics. The method procedure includes calculating metrics, filter refactorings, computing maintainability for candidate refactorings, then outlining refactorings with the highest maintainability. The approach is reported to accurately resolve Long Method issues by suggesting refactoring techniques for the Extract Method, replacing temp with the query, and decomposing condition"
Sharma,This paper proposed Extract Method candidates based on the data and the structure dependency graph. Their suggestions were obtained by eliminating the longest dependency edge in the graph. 
Cousot et al. ,"This unnamed algorithm highlights the problem of automatically inferring contracts such as validity, safety, completeness, and generality with method extraction. The proposed solution was to create two tools that are fast and capable to be interactive in an environment while maintaining precision. The applicable solution is comprised of forward/backward methods that are iterative."
Tairas & Gray,"CeDAR (Clone Detection, Analysis, and Refactoring) is an Eclipse plug-in that sends results of clone detection data to Eclipse. This IDE receives the information and determines which clones can be refactored by specifying the clones with specific properties to be refactored. This tool reportedly detects considerably more clone groups compared with open source artifacts."
Kaya & Fawcett,This paper automated selecting program refactoring fragments to resolve defects with the Long Method. The paper goes over the identification process of code fragments based on a placement tree. This procedure outlines each node in the tree with variable reference counts to implement an effective process. 
Bian et al.,The tool SPAPE is a near-miss clone extraction method that has been applied to ten large scale open source softwares and reportedly can extract more clones than these softwares. SPAPE was developed initially in C programming language to automatically refactor near-miss clones. Four types of duplicated code or clones were identified through the manual refactoring. SPAPE utilizes a symbolic program execution to transform data and identify duplicated code to ensure cohesiveness for programmers.
Silva et al.,JExtract is utilized to identify and rank refactoring opportunities regarding Extract Method as a plug-in for Eclipse IDE. The tool begins bgy generating all Extract Method possibilities for each method then ranks these methods between dependencies in the code. The goal of this tool was to determine an automated way to recommend new methods that hide dependencies or similarities in code. JExtract was found to be more effective than JDeodorant in identifying misplaced code throuhgout methods.
Fontana et al. ,"DCRA (Duplicated Code Refactoring Advisor) is a tool that suggests the best refactoring for Java code clones. The authors of this paper believe that duplicated code is the most vital to improve source code. The approach usde to devleop the tool inclydes the organizing clones in a heirarchy then evaluating each case. Along with this process, a validation process to show effectiveness of the code is provided."
RASE,RASE is a clone removal tool that can apply combinations of six refactorings. Extract Method is one of these refactroings used to extract common code guided by systematic edits.
