GEMS: An Extract Method Refactoring Recommender,S. Xu; A. Sivaraman; S. -C. Khoo; J. Xu,2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE),2017,"Extract Method is a widely used refactoring operation to improve method comprehension and maintenance. Much research has been done to extract codefragments within the method body to form a new method. Criteria used for identifying extractable code is usually centered around degrees of cohesiveness, coupling and length of the method. However, automatic method extraction techniques have not been highly successful, since it can be hard to concretizethe criteria. In this work, we present a novel system that learns these criteria for Extract Method refactorings from open source repositories. We extractstructural and functional features, which encode the concepts of complexity, cohesion and coupling in our learning model, and train it to extract suitablecode fragments from a given source of a method. Our tool, GEMS, recommends a ranked list of code fragments with high accuracy and greatspeed. We evaluated our approach on several open source repositories and compared it against three state-of-the-art approaches-SEMI, JExtract andJDeodorant. The results on these open-source data show the superiority of our machine-learning-based approach in terms of effectiveness. We develop GEMS asan Eclipse plugin, with the intention to support software reliability through method extraction.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109070
A Methodology for Impact Evaluation of Refactoring on External Quality Attributes of a Software Design,R. S. Bashir; S. P. Lee; C. C. Yung; K. A. Alam; R. W. Ahmad,2017 International Conference on Frontiers of Information Technology (FIT),2017,"Refactoring aims at improving software design quality without affecting external behavior. It is commonly believed that refactoring operations always enhance the software quality. However, some recent empirical studies have reported negative or negligible effects of refactoring on certain quality attributes. The actual impact of each refactroing on certain quality attributes may help developers in selecting the most suitable refactoring alternatives. Various work have been proposed in this regard at source code-level. However, fewer studies have assessed the refactoring impact at design-level. In this study, We propose a refactoring impact evaluation method enabling developers to select the suitable refactoring operations based on their impact. Nine small scale case studies have been used to validate the consistency of propose method. The results reveal that move method, extract method, extract class rafactoring operations have improved maintainability, understandability, modifiability, and analyzability in nine case studies. These obeservations are consistent accross multiple case studies, implying that the proposed approach is highly consistent.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8261034
Identifying Fragments to be Extracted from Long Methods,L. Yang; H. Liu; Z. Niu,2009 16th Asia-Pacific Software Engineering Conference,2009,"Long and complex methods are hard to read or maintain, and thus usually treated as bad smells, known as Long Method. On the contrary, short and well-named methods are much easier to read, maintain, and extend. In order to divide long methods into short ones, refactoring Extract Method was proposed and has been widely used. However, extracting methods manually is time consuming and error prone. Though existing refactoring tools can automatically extract a selected fragment from its inclosing method, which fragment within a long method should be extracted has to be determined manually. In order to facilitate the decision-making, we propose an approach to recommend fragments within long methods for extraction. The approach is implemented as a prototype, called AutoMeD. With the tool, we evaluate the approach on a nontrivial open source project. The evaluation results suggest that refactoring cost of long methods can be reduced by nearly 40%. The main contribution of this paper is an approach to recommending fragments within long methods to be extracted, as well as an initial evaluation of the approach.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5358495
Removing Code Clones from Industrial Systems Using Compiler Directives,T. Hatano; A. Matsuo,2017 IEEE/ACM 25th International Conference on Program Comprehension (ICPC),2017,"Refactoring of code clones is an effective method for improving software maintainability. Existing studies have proposed automated techniques and tools for refactoring. However, it is difficult to apply refactoring to our industrial systems in practice because of three main reasons. First, we have many industrial systems written in COBOL which requires a particular refactoring method compared with current techniques because Type-2 clones in COBOL are generated by renaming parts of identifiers. Second, nested clones must be refactored, in which an instance of a clone set is contained within an instance of another clone set. They also make it difficult to estimate the reduction size by refactoring. Third, refactoring requires testing which is time-consuming and laborious. To overcome these problems, we developed an approach for refactoring of Type-2 clones in COBOL programs. Our approach identifies actual refactorable clone sets and includes a string comparison technique to parameterize partial differences in identifier names. The clone sets are extracted as shared code fragments and transformed into the refactored code using compiler directives. It is easy to confirm that refactoring using compiler directives preserves program behavior, because they do not change program structure. We also provide a method that makes it possible to refactor nested clones by ordering their refactoring. This method enables to estimate how many lines can be reduced by refactoring. We applied the approach to four industrial systems to assess how many lines can be reduced. The results show that the lines could be reduced by 10 to 15% and one system was reduced by 27%. We also discuss the parameter number required for our refactoring approach.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961534
Fourth workshop on refactoring tools: (WRT 2011),D. Dig; D. Batory,2011 33rd International Conference on Software Engineering (ICSE),2011,"Refactoring is the process of applying behavior-preserving transformations to a program with the objective of improving the program's design. A specific refactoring is identified by a name (e.g., Extract Method), a set of preconditions, and a set of transformations that need to be performed. Tool support for refactoring is essential because checking the preconditions of refactoring often requires nontrivial program analysis, and applying transformations may affect many locations throughout a program. In recent years, the emergence of light-weight programming methodologies such as Extreme Programming has generated a great amount of interest in refactoring, and refactoring support has become a required feature in today's IDEs. This workshop is a continuation of a series of previous workshops (ECOOP 2007, OOPSLA 2008 and 2009 - see http://refactoring.info/WRT) where researchers and developers of refactoring tools can meet and discuss recent ideas and work, and view tool demonstrations.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032636
Using software metrics to select refactoring for long method bad smell,P. Meananeatra; S. Rongviriyapanish; T. Apiwattanapong,"The 8th Electrical Engineering/ Electronics, Computer, Telecommunications and Information Technology (ECTI) Association of Thailand - Conference 2011",2011,"Refactoring is a technique for improving software structure without changing its behavior which can be used to remove bad smells and increases software maintainability. But only few approaches have been proposed to address the identification of appropriate refactorings. Specifically, our research proposes a method to select refactoring based on software metrics which are defined in terms of data flow and control flow graphs. The method consist of 4 steps: 1) calculate metrics, 2) find candidate refactoring by using refactoring filtering condition (RFC), 3) apply a suite of candidate refactorings and compute maintainability, and 4) identify the refactoring that gives the highest maintainability. We demonstrate out approach by giving an example of removing a long method bad smell in a customer class in a movie rental system. Our approach proves to be able to suggest an appropriate set of refactoring techniques such as extract method, replace temp with query, and decompose condition, to solve the long method bad smell.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5947882
Identification of Extract Method Refactoring Opportunities,N. Tsantalis; A. Chatzigeorgiou,2009 13th European Conference on Software Maintenance and Reengineering,2009,"Extract method has been recognized as one of the most important refactorings, since it decomposes large methods and can be used in combination with other refactorings for fixing a variety of design problems. However, existing tools and methodologies support extraction of methods based on a set of statements selected by the user in the original method. The goal of the proposed methodology is to automatically identify extract method refactoring opportunities and present them as suggestions to the designer of an object-oriented system. The suggested refactorings adhere to three principles: the extracted code should contain the complete computation of a given variable declared in the original method, the behavior of the program should be preserved after the application of the refactoring, and the extracted code should not be excessively duplicated in the original method. The proposed approach is based on the union of static slices that result from the application of a block-based slicing technique. The soundness of the identified refactoring opportunities has been evaluated by an independent designer on the system that he developed.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4812745
TOAD: A Tool for Recommending Auto-Refactoring Alternatives,A. Siles Antezana,2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2019,"Developers often face usability problems when trying to adopt refactoring tools. We replicate a user study to identify and categorize these problems, and we propose a tool that guides the developer to select the correct piece of code for Extract Method refactoring. Our tool works during the workflow of refactoring activities and selects candidate selections that (i) are syntactically correct and (ii) meet the necessary preconditions for Extract Method.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802787
RMove: Recommending Move Method Refactoring Opportunities using Structural and Semantic Representations of Code,D. Cui; S. Wang; Y. Luo; X. Li; J. Dai; L. Wang; Q. Li,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),2022,"Incorrect placement of methods within classes is a typical code smell called Feature Envy, which causes additional maintenance and cost during evolution. To remove this design flaw, several Move Method refactoring tools have been proposed. To the best of our knowledge, state-of-the-art related techniques can be broadly divided into two categories: the first line is non-machine-learning-based approaches built on software measurement, while the selection and thresholds of software metrics heavily rely on expert knowledge. The second line is machine learning-based approaches, which suggest Move Method refactoring by learning to extract features from code information. However, most approaches in this line treat different forms of code information identically, disregarding their significant variation on data analysis. In this paper, we propose an approach to recommend Move Method refactoring named RMove by automatically learning structural and semantic representation from code fragment respectively. We concatenate these representations together and further train the machine learning classifiers to guide the movement of method to suitable classes. We evaluate our approach on two publicly available datasets. The results show that our approach outperforms three state-of-the-art refactoring tools including PathMove, JDeodorant, and JMove in effectiveness and usefulness. The results also unveil useful findings and provide new insights that benefit other types of feature envy refactoring techniques.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978256
On the Alternatives for Composing Batch Refactoring,E. Fernandes; A. Uch̫a; A. C. Bibiano; A. Garcia,2019 IEEE/ACM 3rd International Workshop on Refactoring (IWoR),2019,"Code refactoring is often performed for improving code structures through code transformations. Many transformations, e.g., extracting or moving a method, are applied for at least partially removing code smells. Each code smell is a symptom of a poor code structure that makes hard to read and change the program. Developers often compose two or more interrelated transformations in conjunction (batch refactoring) rather than applying a single transformation. For instance, developers often compose method extractions with method motions to better organize the features realized by classes. We have recently observed cases of batch refactoring performed along with code review in open source projects. We then noticed that composing batches capable of fully removing code smells is quite challenging. Especially, it requires carefully discussing on how two or more transformations complement one another and what to expect from the batch effect on code smell. This position aims to reason about multiple alternatives to support developers on composing their batches. These alternatives should make it easier to compose batches that remove code smells. For this purpose, we exemplify the role of semi-automated tools in gradually recommending transformations, thereby guiding the batch composition in each alternative.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8844411
Assisting Replace Method with Method Object: Selecting Fields and Preserving Data Access,A. Fornaia; E. Tramontana,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),2018,"The work of decomposing long methods into smaller ones is commonly assisted by the Extract Method refactoring technique. However, local variable usages can make code extraction difficult. Therefore, Replace Method with Method Object refactoring technique lets the developer create a field for each variable, and then code extractions can be performed without worrying about variable dependences. However, this can lead to classes having many fields used by a few of its methods. Moreover, the considered fields may not correctly describe the actual object state, making the class harder to understand. This paper proposes a data dependence analysis approach for guiding the Replace Method with Method Object refactoring technique, with the aim of reducing the set of variables becoming fields while properly handling data dependence. The resulting class is easier to understand, having less fields holding the state, while using local variables and parameters to confine all the other data dependence details.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377921
