Silva D.; Nunes I.; Terra R.,"Silva, Danilo (56712316800); Nunes, Ingrid (26633080300); Terra, Ricardo (36865399300)",Investigating code quality tools in the context of software engineering education,2017,10.1002/cae.21793,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012109017&doi=10.1002%2fcae.21793&partnerID=40&md5=bb28c21b62f7f10e523e8e39f576e382
Shahidi M.; Ashtiani M.; Zakeri-Nasrabadi M.,"Shahidi, Mahnoosh (57219975591); Ashtiani, Mehrdad (56115838300); Zakeri-Nasrabadi, Morteza (57219747851)",An automated extract method refactoring approach to correct the long method code smell,2022,10.1016/j.jss.2022.111221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123722465&doi=10.1016%2fj.jss.2022.111221&partnerID=40&md5=4217939de66ecf1ec4cf865419c65124
Jemerov D.,"Jemerov, Dmitry (35224877700)",Implementing refactorings in IntelliJ IDEA,2008,10.1145/1636642.1636655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249121012&doi=10.1145%2f1636642.1636655&partnerID=40&md5=f2a14dfe9b141497ca8a691bfe6c825c
Kaya M.; Fawcett J.W.,"Kaya, Mehmet (55515553000); Fawcett, James W. (15834588000)",Identifying extract method opportunities based on variable references,2013,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937722706&partnerID=40&md5=3c2647c66d695c4678118cb3f3bd525d
Tavares C.S.; Ferreira F.; Figueiredo E.,"Tavares, Cleiton Silva (57205444812); Ferreira, Fischer (57200225072); Figueiredo, Eduardo (57213806535)",A systematic mapping of literature on software refactoring tools; [Um Mapeamento Sistem�tico da Literatura sobre Ferramentas de Refatora��o de Software],2018,10.1145/3229345.3229357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060041285&doi=10.1145%2f3229345.3229357&partnerID=40&md5=5bc897f0e4336f4df00a3a2cbc4112f4
,,"8th International Conference on Software Quality Days, SWQD 2016",2016,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952673995&partnerID=40&md5=48e06330518facd335f1888fbd52daa0
L�mmel R.; Visser J.,"L�mmel, Ralf (7004269252); Visser, Joost (57205471180)",Typed Combinators for Generic Traversal,2002,10.1007/3-540-45587-6_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862047883&doi=10.1007%2f3-540-45587-6_10&partnerID=40&md5=5812ee103b1bfa421d4d65455ef68ccd
Alomar E.A.; Ivanov A.; Kurbatova Z.; Golubev Y.; Mkaouer M.W.; Ouni A.; Bryksin T.; Nguyen L.; Kini A.; Thakur A.,"Alomar, Eman Abdullah (57211323794); Ivanov, Anton (57407150100); Kurbatova, Zarina (57219490618); Golubev, Yaroslav (57214675419); Mkaouer, Mohamed Wiem (55904259300); Ouni, Ali (50761492200); Bryksin, Timofey (55916625600); Nguyen, Le (57656560100); Kini, Amit (57852035300); Thakur, Aditya (35114147700)",AntiCopyPaster: Extracting Code Duplicates As Soon As They Are Introduced in the IDE,2022,10.1145/3551349.3559537,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136277619&doi=10.1145%2f3551349.3559537&partnerID=40&md5=b5ab44e5bab100e761df6f6efcab805a
Sandoval Alcocer J.P.; Siles Antezana A.; Santos G.; Bergel A.,"Sandoval Alcocer, Juan Pablo (57218705105); Siles Antezana, Alejandra (57210918453); Santos, Gustavo (25028452200); Bergel, Alexandre (23093070700)",Improving the success rate of applying the extract method refactoring,2020,10.1016/j.scico.2020.102475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084181995&doi=10.1016%2fj.scico.2020.102475&partnerID=40&md5=c4fe52d54489f9c0eb98d7babecee160
Charalampidou S.; Ampatzoglou A.; Avgeriou P.,"Charalampidou, Sofia (56968008000); Ampatzoglou, Apostolos (16027681600); Avgeriou, Paris (17343671200)",Size and cohesion metrics as indicators of the long method bad smell: An empirical study,2015,10.1145/2810146.2810155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947562197&doi=10.1145%2f2810146.2810155&partnerID=40&md5=850d56c9216d0da7fd5167b7b92078fd
Sagar P.S.; Alomar E.A.; Mkaouer M.W.; Ouni A.; Newman C.D.,"Sagar, Priyadarshni Suresh (57288984500); Alomar, Eman Abdulah (57211323794); Mkaouer, Mohamed Wiem (55904259300); Ouni, Ali (50761492200); Newman, Christian D. (54405883100)",Comparing commit messages and source code metrics for the prediction refactoring activities,2021,10.3390/a14100289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116677802&doi=10.3390%2fa14100289&partnerID=40&md5=4404e35c09b1462f80ee2b7744b8cd01
Tiwari O.; Joshi R.K.,"Tiwari, Omkarendra (57216156458); Joshi, Rushikesh K. (7202085331)",Functionality Based Code Smell Detection and Severity Classification,2020,10.1145/3385032.3385048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082651159&doi=10.1145%2f3385032.3385048&partnerID=40&md5=3888a187b222f839c4cc0d4601d6bca6
Silva D.; Tsantalis N.; Valente M.T.,"Silva, Danilo (56712316800); Tsantalis, Nikolaos (8839792600); Valente, Marco Tulio (55437198000)",Why we Refactor? Confessions of Github contributors,2016,10.1145/2950290.2950305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997428839&doi=10.1145%2f2950290.2950305&partnerID=40&md5=29c96c43c7fbcc798c112eee9b56c1ac
Rongviriyapanish S.; Karunlanchakorn N.; Meananeatra P.,"Rongviriyapanish, Songsakdi (46161612500); Karunlanchakorn, Nopphawit (57095019800); Meananeatra, Panita (46161484600)",Automatic code locations identification for replacing temporary variable with query method,2015,10.1109/ECTICon.2015.7207086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956970597&doi=10.1109%2fECTICon.2015.7207086&partnerID=40&md5=b797016d93debc5bc201dea5fbbd9452
AlOmar E.A.; Ivanov A.; Kurbatova Z.; Golubev Y.; Mkaouer M.W.; Ouni A.; Bryksin T.; Nguyen L.; Kini A.; Thakur A.,"AlOmar, Eman Abdullah (57211323794); Ivanov, Anton (57407150100); Kurbatova, Zarina (57219490618); Golubev, Yaroslav (57214675419); Mkaouer, Mohamed Wiem (55904259300); Ouni, Ali (50761492200); Bryksin, Timofey (55916625600); Nguyen, Le (57656560100); Kini, Amit (57852035300); Thakur, Aditya (35114147700)",Just-in-time code duplicates extraction,2023,10.1016/j.infsof.2023.107169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147970363&doi=10.1016%2fj.infsof.2023.107169&partnerID=40&md5=082f59fe9492a375060069c5fa64b411
Silva D.; Terra R.; Valente M.T.,"Silva, Danilo (56712316800); Terra, Ricardo (36865399300); Valente, Marco Tulio (55437198000)",Recommending automated extract method refactorings,2014,10.1145/2597008.2597141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942510325&doi=10.1145%2f2597008.2597141&partnerID=40&md5=c867427cb0634c36940102b17c000499
