Learning to Rank Extract Method Refactoring Suggestions for Long Methods,10.1007/978-3-319-49421-0_4,Roman HaasBenjamin Hummel,2017,http://link.springer.com/chapter/10.1007/978-3-319-49421-0_4
Deriving Extract Method Refactoring Suggestions for Long Methods,10.1007/978-3-319-27033-3_10,Roman HaasBenjamin Hummel,2016,http://link.springer.com/chapter/10.1007/978-3-319-27033-3_10
On the documentation of refactoring types,10.1007/s10515-021-00314-w,Eman Abdullah AlOmarJiaqian LiuKenneth AddoMohamed Wiem MkaouerChristian NewmanAli OuniZhe Yu,2021,http://link.springer.com/article/10.1007/s10515-021-00314-w
A Classification of Refactoring Methods Based on Software Quality Attributes,10.1007/s13369-011-0117-x,Karim O. ElishMohammad Alshayeb,2011,http://link.springer.com/article/10.1007/s13369-011-0117-x
Recommending Refactoring Operations in Large Software Systems,10.1007/978-3-642-45135-5_15,Gabriele BavotaAndrea De LuciaAndrian MarcusRocco Oliveto,2014,http://link.springer.com/chapter/10.1007/978-3-642-45135-5_15
Stepping Stones over the Refactoring Rubicon,10.1007/978-3-642-03013-0_17,Max SchÃ¤ferMathieu VerbaereTorbjÃ¶rn EkmanOege de Moor,2009,http://link.springer.com/chapter/10.1007/978-3-642-03013-0_17
Supporting requirements to code traceability through refactoring,10.1007/s00766-013-0197-0,Anas MahmoudNan Niu,2014,http://link.springer.com/article/10.1007/s00766-013-0197-0
Identifying Refactoring-Oriented Clones and Inferring How They Can Be Merged,10.1007/978-981-16-1927-4_13,Yoshiki Higo,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_13
A Duplicated Code Refactoring Advisor,10.1007/978-3-319-18612-2_1,Francesca Arcelli FontanaMarco ZanoniFrancesco Zanoni,2015,http://link.springer.com/chapter/10.1007/978-3-319-18612-2_1
Secure Refactoring with Java Information Flow,10.1007/978-3-319-29883-2_19,Steffen HelkeFlorian KammÃ¼llerChristian W. Probst,2016,http://link.springer.com/chapter/10.1007/978-3-319-29883-2_19
An Algorithm for Layout Preservation in Refactoring Transformations,10.1007/978-3-642-28830-2_3,Maartje de JongeEelco Visser,2012,http://link.springer.com/chapter/10.1007/978-3-642-28830-2_3
Identification of refactoring opportunities for source code based on class association relationships,10.1007/s11771-020-4576-7,Wei Liu åˆ˜ä¼ŸNa Yang æ¨å¨œXin-di Huang é»„è¾›è¿ªWei Hu èƒ¡ä¸ºZhi-gang Hu èƒ¡å¿—åˆš,2020,http://link.springer.com/article/10.1007/s11771-020-4576-7
A C++ Refactoring Browser and Method Extraction,10.1007/978-0-387-39388-9_31,Marian VittekPeter BorovanskyPierre-Etienne Moreau,2007,http://link.springer.com/chapter/10.1007/978-0-387-39388-9_31
Systematic Testing of Refactoring Engines on Real Software Projects,10.1007/978-3-642-39038-8_26,Milos GligoricFarnaz BehrangYilong LiJeffrey OverbeyMunawar HafizDarko Marinov,2013,http://link.springer.com/chapter/10.1007/978-3-642-39038-8_26
Investigating the Impact of Code Refactoring Techniques on Energy Consumption in Different Object-Oriented Programming Languages,10.1007/978-3-030-36178-5_12,Ibrahim SanlialpMuhammed Maruf Ozturk,2020,http://link.springer.com/chapter/10.1007/978-3-030-36178-5_12
Identification of generalization refactoring opportunities,10.1007/s10515-012-0100-0,Hui LiuZhendong NiuZhiyi MaWeizhong Shao,2013,http://link.springer.com/article/10.1007/s10515-012-0100-0
Refactoring,10.1007/978-1-4302-0179-3_10,,2006,http://link.springer.com/chapter/10.1007/978-1-4302-0179-3_10
From Object-Oriented to Workflow: Refactoring of OO Applications into Workflows for an Efficient Resources Management in the Cloud,10.1007/978-3-030-22559-9_9,Anfel SelmadjiAbdelhak-Djamel SeriaiHinde Lilia BouzianeChristophe Dony,2019,http://link.springer.com/chapter/10.1007/978-3-030-22559-9_9
Refactoring Support Based on Code Clone Analysis,10.1007/978-3-540-24659-6_16,Yoshiki HigoToshihiro KamiyaShinji KusumotoKatsuro Inoue,2004,http://link.springer.com/chapter/10.1007/978-3-540-24659-6_16
Refactoring,10.1007/978-1-4842-0728-4_3,Edward Crookshanks,2014,http://link.springer.com/chapter/10.1007/978-1-4842-0728-4_3
Analysis of code smell to quantify the refactoring,10.1007/s13198-017-0658-9,Rajni SehgalDeepti MehrotraManju Bala,2017,http://link.springer.com/article/10.1007/s13198-017-0658-9
How do i refactor this? An empirical study on refactoring trends and topics in Stack Overflow,10.1007/s10664-021-10045-x,Anthony PerumaSteven SimmonsEman Abdullah AlOmarChristian D. NewmanMohamed Wiem MkaouerAli Ouni,2021,http://link.springer.com/article/10.1007/s10664-021-10045-x
An Approach to Suggest Code Smell Order for Refactoring,10.1007/978-981-13-8300-7_21,Thirupathi GuggulothuSalman Abdul Moiz,2019,http://link.springer.com/chapter/10.1007/978-981-13-8300-7_21
Refactoring,10.1007/978-1-4842-0620-1_7,Edward Crookshanks,2015,http://link.springer.com/chapter/10.1007/978-1-4842-0620-1_7
Refactoring,10.1007/978-1-4842-7446-0_7,Ted Hagos,2022,http://link.springer.com/chapter/10.1007/978-1-4842-7446-0_7
Empirical Study on Method-level Refactoring Using Machine Learning,10.1007/978-981-19-1412-6_57,Rasmita PanigrahiSanjay Kumar KuanarLov Kumar,2023,http://link.springer.com/chapter/10.1007/978-981-19-1412-6_57
Simulation of a Model for Refactoring Approach for Parallelism Using Parallel Computing Tool Box,10.1007/978-3-319-30927-9_8,Shanthi MakkaB. B. Sagar,2016,http://link.springer.com/chapter/10.1007/978-3-319-30927-9_8
Refactoring practices in the context of data-intensive systems,10.1007/s10664-022-10271-x,Biruk Asmare MuseFoutse KhomhGiuliano Antoniol,2023,http://link.springer.com/article/10.1007/s10664-022-10271-x
Assessment of the Code Refactoring Dataset Regarding the Maintainability of Methods,10.1007/978-3-319-42089-9_43,IstvÃ¡n KÃ¡dÃ¡rPÃ©ter HegedÅ±sRudolf FerencTibor GyimÃ³thy,2016,http://link.springer.com/chapter/10.1007/978-3-319-42089-9_43
Investigating the Effect of Aspect-Oriented Refactoring on Software Maintainability,10.1007/978-3-642-22203-0_52,Hamdi A. Al-JamimiMohammad AlshayebMahmoud O. Elish,2011,http://link.springer.com/chapter/10.1007/978-3-642-22203-0_52
"Differential precondition checking: a language-independent, reusable analysis for refactoring engines",10.1007/s10515-014-0176-9,Jeffrey L. OverbeyRalph E. JohnsonMunawar Hafiz,2016,http://link.springer.com/article/10.1007/s10515-014-0176-9
