Tuck,Unknown,"This paper proposes a transformation tuck that restructures code and reorganizes unclear big fragments into small cohesive functions. Tuck deconstructs large functions into small functions by restructuring programs. Wedge, split, and fold are the three parts that make up tuck. Then, statements of meaningful functions in a wedge are split and folded into a new function. Overall, the paper revolves around the application of tuck transformations to imrpove the construction of a software system."
CloRT,Unknown,CloRT is developed to take into account the shared elements of cloned methods while utilizing the strategy design pattern to differentiate them. A dynamic pattern matching algorithm is used to identify the semantic distinctions between clones and their translation in terms of programming language entities.
Nate,Unknown,"Nate performed the Extract Method refactoring by extracting the slice into a new method, replacing it with a method call. For each extracted statement, the tool determines whether to remove it from the original method or to keep it there because it is still relevant"
CCShaper,Unknown,"CCShaper is a refactoring support tool based on code clone analysis. Software maintenance is made difficult by code clone, therefore by eliminating this issue performance is improved. This tool is reportedly more time efficient compared to software on a larger scale. The user is able to select which clones to remove by characterizing code clones."
Aries,Unknown,"ARIES is a refactoring support tool based on code clone analysis. Software maintenance is made difficult by code clone, therefore by eliminating this issue performance is improved. This tool is reportedly more time efficient compared to software on a larger scale. The user is able to select which clones to remove by characterizing code clones."
SDAR,Unknown,SDAR (Star Diagram Automated Refactoring) is a plug-in for Eclipse that is utilized to detect and apply local and global refactoring through star diagrams. The plug-in reveals that previously established JDT refactorings can apply new tools with star diagram refactorings. The tool offers refactoring options that imrpove code and aid development opportunities.
Unnamed,Unknown,This paper constructs an algorithm to recognize the arguments and outcomes of an extraction method. The implementation is an Eclipse plugin and uses the Java Development Tools library provided by Eclipse
Xrefactory,http://www.xref-tech.com/sitemap/,"XRefactory is a C++ refactoring tool utilizing a back-mapping preprocessor to perform at the level of compilers. The tool performs refactoring such as renaming, adding, moving method parameters, and method extraction. Although this tool only involves limited refactoring, the quality of the analysis is indicative of the tool."
Unnamed,https://github.com/misto/Ruby-Refactoring,"This plug-in was developed for Eclipse Ruby Development Tools IDE since automated refactorings are not included in Ruby. Dynamic typing of Ruby makes implementing refactorings very difficult since it can be impossible for an IDE to determine an object type; therefore, refactorings were applied loosly adapted from JDT. This plug-in was added to the official RDT repository and into Aptana's web development IDE."
RefactoringAnnotation,Unknown,"The tool Refactoring Annotations for Extract Method refactoring allows the user to find solutions for coding errors. The annotations depend on what code section the programmer suggests and applies relevant refactoring recommendations. This is done automattically by implementing an arow to be drawn on parameters and return values. The study this tool was developed conlcuded that speed, accuracy, and user satisfaction increase with the application of new tools. Usability recommendations are implemented and the goal is to cultivate a new generation of tools that are user-friendly for programmers."
