Item Title,Item DOI,Authors,Publication Year,URLs
Bad smell detection using quality metrics and refactoring opportunities,10.1002/smr.2255,"Bafandeh Mayvan B,Rasoolzadegan A,Javan Jafari A",2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2255;http://dx.doi.org/10.1002/smr.2255
MORE: A multi-objective refactoring recommendation approach to introducing design patterns and fixing code smells,10.1002/smr.1843,"Ouni A,Kessentini M,Ó Cinnéide M,Sahraoui H,Deb K,Inoue K",2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1843;http://dx.doi.org/10.1002/smr.1843
Multi-view city-based approach for code-smell evolution visualisation,10.1049/iet-sen.2020.0010,"Katbi A,Hammad M,Elmedany W",2020,https://onlinelibrary.wiley.com/doi/abs/10.1049/iet-sen.2020.0010;http://dx.doi.org/10.1049/iet-sen.2020.0010
Software code refactoring based on deep neural network-based fitness function,10.1002/cpe.7531,"Karakati CB,Thirumaaran S",2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.7531;http://dx.doi.org/10.1002/cpe.7531
Severity classification of software code smells using machine learning techniques: A comparative study,10.1002/smr.2454,"Abdou A,Darwish N",,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2454;http://dx.doi.org/10.1002/smr.2454
Software smell detection techniques: A systematic literature review,10.1002/smr.2320,"AbuHassan A,Alshayeb M,Ghouti L",2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2320;http://dx.doi.org/10.1002/smr.2320
On the diffusion of test smells and their relationship with test code quality of Java projects,10.1002/smr.2532,"Martins L,Costa H,Machado I",,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2532;http://dx.doi.org/10.1002/smr.2532
A survey on UML model smells detection techniques for software refactoring,10.1002/smr.2154,"Mumtaz H,Alshayeb M,Mahmood S,Niazi M",2019,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2154;http://dx.doi.org/10.1002/smr.2154
Severity Factor (SF): An aid to developers for application of refactoring operations to improve software quality,10.1002/smr.2590,"Agnihotri M,Chug A",,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2590;http://dx.doi.org/10.1002/smr.2590
Predictive maintenance of infrastructure code using “fluid” datasets: An exploratory study on Ansible defect proneness,10.1002/smr.2480,"Quattrocchi G,Tamburri DA",2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2480;http://dx.doi.org/10.1002/smr.2480
"Impacts, causes, and solutions of architectural smells in microservices: An industrial investigation",10.1002/spe.3138,"Zhong C,Huang H,Zhang H,Li S",2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.3138;http://dx.doi.org/10.1002/spe.3138
Behind the scenes: On the relationship between developer experience and refactoring,10.1002/smr.2395,"Alomar EA,Peruma A,Mkaouer MW,Newman CD,Ouni A",,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2395;http://dx.doi.org/10.1002/smr.2395
Clone evolution: a systematic review,10.1002/smr.579,"Pate JR,Tairas R,Kraft NA",2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.579;http://dx.doi.org/10.1002/smr.579
An architecture refactoring approach to reducing software hierarchy complexity,10.1002/smr.2573,"Zhao Y,Wu W,Fei Y,Liu Z,Li Y,Yang Y,Shi L,Zhang B",,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2573;http://dx.doi.org/10.1002/smr.2573
Model refactoring by example: A multi-objective search based software engineering approach,10.1002/smr.1916,"Ghannem A,Kessentini M,Hamdi MS,El Boussaidi G",2018,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1916;http://dx.doi.org/10.1002/smr.1916
The parallel agile process: Applying parallel processing techniques to software engineering,10.1002/smr.2144,"Rosenberg D,Boehm BW,Wang B,Qi K",2019,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2144;http://dx.doi.org/10.1002/smr.2144
Studying clone evolution using incremental clone detection,10.1002/smr.520,"Göde N,Koschke R",2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.520;http://dx.doi.org/10.1002/smr.520
The relationship between evolutionary coupling and defects in large industrial software,10.1002/smr.1842,"Kirbas S,Caglayan B,Hall T,Counsell S,Bowes D,Sen A,Bener A",2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1842;http://dx.doi.org/10.1002/smr.1842
The changing balance of technology and process: A case study on a combined setting of model-driven development and classical C coding,10.1002/smr.1863,"Hebig R,Derehag J",2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1863;http://dx.doi.org/10.1002/smr.1863
Teaching C++ programming using automated unit testing and test-driven development—Design and efficacy study,10.1002/cae.22488,Sheikh W,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.22488;http://dx.doi.org/10.1002/cae.22488
Improving design quality using meta-pattern transformations: a metric-based approach,10.1002/smr.299,"Tahvildari L,Kontogiannis K",2004,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.299;http://dx.doi.org/10.1002/smr.299
A survey and taxonomy of approaches for mining software repositories in the context of software evolution,10.1002/smr.344,"Kagdi H,Collard ML,Maletic JI",2007,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.344;http://dx.doi.org/10.1002/smr.344
Design preservation over subsequent releases of a software product: a case study of Baan ERP,10.1002/smr.313,"van Gurp J,Brinkkemper S,Bosch J",2005,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.313;http://dx.doi.org/10.1002/smr.313
"Design, Parameterization, and Implementation of Atomic Force Fields for Adsorption in Nanoporous Materials",10.1002/adts.201900135,"Dubbeldam D,Walton KS,Vlugt TJ,Calero S",2019,https://onlinelibrary.wiley.com/doi/abs/10.1002/adts.201900135;http://dx.doi.org/10.1002/adts.201900135
Some structural measures of API usability,10.1002/spe.2215,"Rama GM,Kak A",2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.2215;http://dx.doi.org/10.1002/spe.2215
Metrics in automotive software development: A systematic literature review,10.1002/smr.2296,"Vogel M,Knapik P,Cohrs M,Szyperrek B,Pueschel W,Etzel H,Fiebig D,Rausch A,Kuhrmann M",2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2296;http://dx.doi.org/10.1002/smr.2296
Analysis of carbohydrates and glycoconjugates by matrix-assisted laser desorption/ionization mass spectrometry: An update for 2017–2018,10.1002/mas.21721,Harvey DJ,2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/mas.21721;http://dx.doi.org/10.1002/mas.21721
Software Cartography: thematic software visualization with consistent layout,10.1002/smr.414,"Kuhn A,Erni D,Loretan P,Nierstrasz O",2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.414;http://dx.doi.org/10.1002/smr.414
